ticker_id,ticker,capture_date,expiry,dte,spot,atm_iv,put_iv,call_iv,put_skew,risk_reversal,loaded_at
spx,SPY,2026-08-04,2026-09-04,31,771.3300170898438,0.16989353419229392,0.2217410346265658,0.15731191670976585,0.05184750043427189,0.06442911791679995,2026-08-04 23:18:01.083777
ndx,QQQ,2026-08-04,2026-09-04,31,723.8499755859375,0.2403298774523639,0.28376970006263996,0.24499532997792964,0.04343982261027607,0.038774370084710325,2026-08-04 23:18:01.987441
rut,IWM,2026-08-04,2026-09-04,31,301.7099914550781,0.18227441548314954,0.24792112136839325,0.1888410377503701,0.06564670588524371,0.059080083618023166,2026-08-04 23:18:02.805968
spx,SPY,2026-08-05,2026-09-04,30,769.7899780273438,0.12538200079758766,0.21886312726622445,0.14176001192429669,0.0934811264686368,0.07710311534192776,2026-08-05 23:16:29.816971
ndx,QQQ,2026-08-05,2026-09-04,30,717.2999877929688,0.22646680644944397,0.27439691795192656,0.2059405578613281,0.04793011150248258,0.06845636009059847,2026-08-05 23:16:30.286394
rut,IWM,2026-08-05,2026-09-04,30,299.7699890136719,0.17035962481496872,0.24158085542264582,0.17420112326423826,0.0712212306076771,0.06737973215840756,2026-08-05 23:16:30.723401
spx,SPY,2026-08-07,2026-09-04,28,773.260009765625,0.1293468816766141,0.21607508344005041,0.13943782328480486,0.08672820176343632,0.07663726015524555,2026-08-07 22:53:16.995563
ndx,QQQ,2026-08-07,2026-09-04,28,723.030029296875,0.2119394632244481,0.26645383655160665,0.19348923482932162,0.054514373327158555,0.07296460172228503,2026-08-07 22:53:17.390078
rut,IWM,2026-08-07,2026-09-04,28,301.55999755859375,0.16798200254753204,0.236274245870158,0.16626380199918755,0.06829224332262596,0.07001044387097044,2026-08-07 22:53:17.786237
spx,SPY,2026-08-08,2026-09-04,27,773.260009765625,0.13163201149880865,0.21992025983165195,0.14198027570617205,0.0882882483328433,0.0779399841254799,2026-08-08 22:43:30.347024
ndx,QQQ,2026-08-08,2026-09-04,27,723.030029296875,0.2156816326440869,0.2711701574075073,0.19692749587035188,0.055488524763420366,0.07424266153715539,2026-08-08 22:43:30.731044
rut,IWM,2026-08-08,2026-09-04,27,301.55999755859375,0.17098490295078575,0.2405701018851101,0.16919346020231257,0.06958519893432435,0.07137664168279753,2026-08-08 22:43:31.095482
